"id","tourn_id","date","teamA","scoreA","scoreB","teamB","et","sc","w","l","d","dA","dB"
"finals","wc_1938","1938-06-16  ","Italy",2,1,"Brazil",0,NA,"Italy","Brazil",FALSE,NA,NA
"finals","wc_1938","1938-06-19  ","Brazil",4,2,"Sweden",0,NA,"Brazil","Sweden",FALSE,NA,NA
"finals","wc_1938","  1938-06-19","Italy",4,2,"Hungary",0,NA,"Italy","Hungary",FALSE,NA,NA
"finals","wc_1950","1950-06-24  ","Brazil",4,0,"Mexico",0,NA,"Brazil","Mexico",FALSE,NA,NA
"finals","wc_1950","1950-06-25  ","Serbia/Yugoslavia",3,0,"Switzerland",0,NA,"Serbia/Yugoslavia","Switzerland",FALSE,NA,NA
"finals","wc_1950","1950-06-28  ","Brazil",2,2,"Switzerland",0,NA,"Draw","Draw",TRUE,"Brazil","Switzerland"
"finals","wc_1950","1950-06-28  ","Mexico",1,4,"Serbia/Yugoslavia",0,NA,"Serbia/Yugoslavia","Mexico",FALSE,NA,NA
"finals","wc_1950","1950-07-01  ","Brazil",2,0,"Serbia/Yugoslavia",0,NA,"Brazil","Serbia/Yugoslavia",FALSE,NA,NA
"finals","wc_1950","1950-07-02  ","Mexico",1,2,"Switzerland",0,NA,"Switzerland","Mexico",FALSE,NA,NA
"finals","wc_1950","1950-06-25  ","Chile",0,2,"England",0,NA,"England","Chile",FALSE,NA,NA
"finals","wc_1950","1950-06-25  ","USA",1,3,"Spain",0,NA,"Spain","USA",FALSE,NA,NA
"finals","wc_1950","1950-06-29  ","USA",1,0,"England",0,NA,"USA","England",FALSE,NA,NA
"finals","wc_1950","1950-06-29  ","Chile",0,2,"Spain",0,NA,"Spain","Chile",FALSE,NA,NA
"finals","wc_1950","1950-07-02  ","England",0,1,"Spain",0,NA,"Spain","England",FALSE,NA,NA
"finals","wc_1950","1950-07-02  ","Chile",5,2,"USA",0,NA,"Chile","USA",FALSE,NA,NA
"finals","wc_1950","1950-06-25  ","Sweden",3,2,"Italy",0,NA,"Sweden","Italy",FALSE,NA,NA
"finals","wc_1950","1950-06-29  ","Paraguay",2,2,"Sweden",0,NA,"Draw","Draw",TRUE,"Paraguay","Sweden"
"finals","wc_1950","1950-07-02  ","Paraguay",0,2,"Italy",0,NA,"Italy","Paraguay",FALSE,NA,NA
"finals","wc_1950","1950-07-02  ","Uruguay",8,0,"Bolivia",0,NA,"Uruguay","Bolivia",FALSE,NA,NA
"finals","wc_1950","1950-07-09  ","Brazil",7,1,"Sweden",0,NA,"Brazil","Sweden",FALSE,NA,NA
"finals","wc_1950","1950-07-09  ","Uruguay",2,2,"Spain",0,NA,"Draw","Draw",TRUE,"Uruguay","Spain"
"finals","wc_1950","1950-07-13  ","Brazil",6,1,"Spain",0,NA,"Brazil","Spain",FALSE,NA,NA
"finals","wc_1950","1950-07-13  ","Uruguay",3,2,"Sweden",0,NA,"Uruguay","Sweden",FALSE,NA,NA
"finals","wc_1950","1950-07-16  ","Sweden",3,1,"Spain",0,NA,"Sweden","Spain",FALSE,NA,NA
"finals","wc_1950","  1950-07-16","Uruguay",2,1,"Brazil",0,NA,"Uruguay","Brazil",FALSE,NA,NA
"finals","wc_1954","1954-06-16  ","Serbia/Yugoslavia",1,0,"France",0,NA,"Serbia/Yugoslavia","France",FALSE,NA,NA
"finals","wc_1954","1954-06-16  ","Brazil",5,0,"Mexico",0,NA,"Brazil","Mexico",FALSE,NA,NA
"finals","wc_1954","1954-06-19  ","France",3,2,"Mexico",0,NA,"France","Mexico",FALSE,NA,NA
"finals","wc_1954","1954-06-19  ","Brazil",1,1,"Serbia/Yugoslavia",1,NA,"Draw","Draw",TRUE,"Brazil","Serbia/Yugoslavia"
"finals","wc_1954","1954-06-17  ","Hungary",9,0,"South Korea",0,NA,"Hungary","South Korea",FALSE,NA,NA
"finals","wc_1954","1954-06-17  ","Germany",4,1,"Turkey",0,NA,"Germany","Turkey",FALSE,NA,NA
"finals","wc_1954","1954-06-20  ","Hungary",8,3,"Germany",0,NA,"Hungary","Germany",FALSE,NA,NA
"finals","wc_1954","1954-06-20  ","Turkey",7,0,"South Korea",0,NA,"Turkey","South Korea",FALSE,NA,NA
"finals","wc_1954","1954-06-23  ","Germany",7,2,"Turkey",0,NA,"Germany","Turkey",FALSE,NA,NA
"finals","wc_1954","1954-06-16  ","Uruguay",2,0,"Czech Republic/CSFR",0,NA,"Uruguay","Czech Republic/CSFR",FALSE,NA,NA
"finals","wc_1954","1954-06-16  ","Austria",1,0,"Scotland",0,NA,"Austria","Scotland",FALSE,NA,NA
"finals","wc_1954","1954-06-19  ","Uruguay",7,0,"Scotland",0,NA,"Uruguay","Scotland",FALSE,NA,NA
"finals","wc_1954","1954-06-19  ","Austria",5,0,"Czech Republic/CSFR",0,NA,"Austria","Czech Republic/CSFR",FALSE,NA,NA
"finals","wc_1954","1954-06-17  ","England",4,4,"Belgium",1,NA,"Draw","Draw",TRUE,"England","Belgium"
"finals","wc_1954","1954-06-17  ","Switzerland",2,1,"Italy",0,NA,"Switzerland","Italy",FALSE,NA,NA
"finals","wc_1954","1954-06-20  ","Switzerland",0,2,"England",0,NA,"England","Switzerland",FALSE,NA,NA
"finals","wc_1954","1954-06-20  ","Italy",4,1,"Belgium",0,NA,"Italy","Belgium",FALSE,NA,NA
"finals","wc_1954","1954-06-23  ","Switzerland",4,1,"Italy",0,NA,"Switzerland","Italy",FALSE,NA,NA
"finals","wc_1954","1954-06-26  ","Switzerland",5,7,"Austria",0,NA,"Austria","Switzerland",FALSE,NA,NA
"finals","wc_1954","1954-06-26  ","Uruguay",4,2,"England",0,NA,"Uruguay","England",FALSE,NA,NA
"finals","wc_1954","1954-06-27  ","Hungary",4,2,"Brazil",0,NA,"Hungary","Brazil",FALSE,NA,NA
"finals","wc_1954","1954-06-27  ","Germany",2,0,"Serbia/Yugoslavia",0,NA,"Germany","Serbia/Yugoslavia",FALSE,NA,NA
"finals","wc_1954","1954-06-30  ","Germany",6,1,"Austria",0,NA,"Germany","Austria",FALSE,NA,NA
"finals","wc_1954","1954-06-30  ","Hungary",4,2,"Uruguay",1,NA,"Hungary","Uruguay",FALSE,NA,NA
"finals","wc_1954","1954-07-03  ","Austria",3,1,"Uruguay",0,NA,"Austria","Uruguay",FALSE,NA,NA
