"tourn_id","team","qgp","qw","qd","ql","qp","qpp","qop","qopp","qgf","qga","qgd","fgp","fw","fd","fl","fp","fpp","fop","fopp","fgf","fga","fgd","hd","cd"
"wc_2014","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,3,2,2,11,0.523809523809524,8,0.571428571428571,11,14,-3,1,0
"wc_2014","Cameroon",7,4,2,1,14,0.666666666666667,10,0.714285714285714,9,4,5,3,0,0,3,0,0,0,0,1,9,-8,0,0
"wc_2014","Chile",16,9,1,6,28,0.583333333333333,19,0.59375,29,25,4,4,2,1,1,7,0.583333333333333,5,0.625,6,4,2,0,0
"wc_2014","Colombia",16,9,3,4,30,0.625,21,0.65625,27,13,14,5,4,0,1,12,0.8,8,0.8,12,4,8,0,0
"wc_2014","Costa Rica",16,8,4,4,28,0.583333333333333,20,0.625,27,12,15,5,2,3,0,9,0.6,7,0.7,5,2,3,0,0
"wc_2014","Croatia",12,6,3,3,21,0.583333333333333,15,0.625,14,9,5,3,1,0,2,3,0.333333333333333,2,0.333333333333333,6,6,0,0,0
"wc_2014","Ecuador",16,7,4,5,25,0.520833333333333,18,0.5625,20,16,4,3,1,1,1,4,0.444444444444444,3,0.5,3,3,0,0,0
"wc_2014","England",10,6,4,0,22,0.733333333333333,16,0.8,31,4,27,3,0,1,2,1,0.111111111111111,1,0.166666666666667,2,4,-2,0,0
"wc_2014","France",10,6,2,2,20,0.666666666666667,14,0.7,18,8,10,5,3,1,1,10,0.666666666666667,7,0.7,10,3,7,0,0
"wc_2014","Germany",10,9,1,0,28,0.933333333333333,19,0.95,36,10,26,7,6,1,0,19,0.904761904761905,13,0.928571428571429,18,4,14,0,1
"wc_2014","Ghana",8,6,0,2,18,0.75,12,0.75,25,6,19,3,0,1,2,1,0.111111111111111,1,0.166666666666667,4,6,-2,0,0
"wc_2014","Greece",12,9,2,1,29,0.805555555555556,20,0.833333333333333,16,6,10,4,1,2,1,5,0.416666666666667,4,0.5,3,5,-2,0,0
"wc_2014","Honduras",16,7,5,4,26,0.541666666666667,19,0.59375,25,15,10,3,0,0,3,0,0,0,0,1,8,-7,0,0
"wc_2014","Iran",16,10,4,2,34,0.708333333333333,24,0.75,30,7,23,3,0,1,2,1,0.111111111111111,1,0.166666666666667,1,4,-3,0,0
"wc_2014","Italy",10,6,4,0,22,0.733333333333333,16,0.8,19,9,10,3,1,0,2,3,0.333333333333333,2,0.333333333333333,2,3,-1,0,0
"wc_2014","Ivory Coast",8,5,3,0,18,0.75,13,0.8125,19,7,12,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,5,-1,0,0
"wc_2014","Japan",14,8,3,3,27,0.642857142857143,19,0.678571428571429,30,8,22,3,0,1,2,1,0.111111111111111,1,0.166666666666667,2,6,-4,0,0
"wc_2014","Mexico",20,12,5,3,41,0.683333333333333,29,0.725,40,17,23,4,2,1,1,7,0.583333333333333,5,0.625,5,3,2,0,0
"wc_2014","Netherlands",10,9,1,0,28,0.933333333333333,19,0.95,34,5,29,7,5,2,0,17,0.80952380952381,12,0.857142857142857,15,4,11,0,0
"wc_2014","Nigeria",8,5,3,0,18,0.75,13,0.8125,11,4,7,4,1,1,2,4,0.333333333333333,3,0.375,3,5,-2,0,0
"wc_2014","Portugal",12,8,3,1,27,0.75,19,0.791666666666667,24,11,13,3,1,1,1,4,0.444444444444444,3,0.5,4,7,-3,0,0
"wc_2014","Russia/USSR",10,7,1,2,22,0.733333333333333,15,0.75,20,5,15,3,0,2,1,2,0.222222222222222,2,0.333333333333333,2,3,-1,0,0
"wc_2014","South Korea",14,8,3,3,27,0.642857142857143,19,0.678571428571429,27,11,16,3,0,1,2,1,0.111111111111111,1,0.166666666666667,3,6,-3,0,0
"wc_2014","Spain",8,6,2,0,20,0.833333333333333,14,0.875,14,3,11,3,1,0,2,3,0.333333333333333,2,0.333333333333333,4,7,-3,0,0
"wc_2014","Switzerland",10,7,3,0,24,0.8,17,0.85,17,6,11,4,2,0,2,6,0.5,4,0.5,7,7,0,0,0
"wc_2014","Uruguay",20,9,6,5,33,0.55,24,0.6,35,25,10,4,2,0,2,6,0.5,4,0.5,4,6,-2,0,0
"wc_2014","USA",16,11,2,3,35,0.729166666666667,24,0.75,26,14,12,4,1,1,2,4,0.333333333333333,3,0.375,5,6,-1,0,0
